Test Map Name,Distance Threshold,Rate,Path Cost,Iterations,Time Cost,Canceled Iterations,No. Trials
test_1,50,0.25,222.60889494039748,3.5433333333333334,0.0002110139528910319,0.006666666666666667,300
test_1,100,0,223.0230895439693,3.5166666666666666,0.00018920421600341798,0.0,300
test_1,100,0.25,226.6340808644879,3.5833333333333335,0.00017130692799886067,0.0,300
test_2,10,0.5,537.2385129620878,14.936666666666667,0.0015765714645385742,27.42,300
test_2,10,0,549.4092736755689,14.473333333333333,0.0017206716537475587,25.94333333333333,300
test_2,200,0.25,546.6254037114302,14.55,0.0015553148587544759,26.05666666666667,300
test_3,inf,0,1230.441018219025,206.84666666666666,0.04164703687032064,605.8666666666667,300
test_3,inf,0.5,1240.8895187348462,197.09,0.03705007712046305,572.5433333333333,300
test_3,inf,0.5,1240.8895187348462,197.09,0.03705007712046305,572.5433333333333,300
test_4,200,0.5,734.110796978077,37.38,0.004902226130167643,86.32,300
test_4,10,0.5,765.388891357631,36.06333333333333,0.004619388580322265,83.82666666666667,300
test_4,10,0.5,765.388891357631,36.06333333333333,0.004619388580322265,83.82666666666667,300
test_5,10,0.5,1494.8575374855131,227.05666666666667,0.05145912011464437,999.1766666666666,300
test_5,10,0.5,1494.8575374855131,227.05666666666667,0.05145912011464437,999.1766666666666,300
test_5,200,0.25,1497.9550974818108,228.02666666666667,0.05010458866755168,974.04,300
test_6,inf,0,686.5825701487028,69.00666666666666,0.012716267108917236,220.38333333333333,300
test_6,200,0.5,690.6376145996463,67.35333333333334,0.01240901788075765,217.59,300
test_6,200,0.5,690.6376145996463,67.35333333333334,0.01240901788075765,217.59,300
test_7,50,0.5,1864.979936641586,2124.2266666666665,2.342876179218292,33391.36666666667,300
test_7,inf,0.5,1869.0280819499128,2049.6366666666668,2.2936250948905945,32817.916666666664,300
test_7,10,0.5,1868.7034445326337,2067.1466666666665,2.2452464000384014,33326.526666666665,300
test_8,200,0.5,1821.103287130149,1992.77,1.6466719929377238,9392.743333333334,300
test_8,100,0.5,1827.2123589529267,1909.1233333333332,1.5080282545089723,9127.123333333333,300
test_8,50,0,1828.1611399200465,1911.1966666666667,1.4181907971700032,9045.8,300
